timestamp,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,aux_1,aux_2,aux_3
1608539285.199676,1.813235,9.189434,19.621648,39.727739,48.929737,59.167696,87.341009,153.844349,114.412195,208.194697,108.705362,160.174879,119.461861,199.753804,107.888214,60.377797,-0.364249,0.449330,0.014835
1608539285.203467,3.533291,14.704640,32.196937,56.837178,70.379544,104.511271,101.759437,73.583046,69.693086,31.129110,-28.158296,-33.583751,-95.479649,-194.751687,-242.321782,-279.369383,0.539254,-0.059359,-0.147641
1608539285.207230,5.144814,20.798589,37.016971,57.335830,47.607352,40.386948,23.863828,-35.006968,-106.323044,-163.132592,-118.899568,-95.346896,-158.617701,-70.095420,23.837967,113.466797,0.416964,-0.268595,0.696145
1608539285.211011,6.866045,25.989398,40.677869,53.110774,31.271574,-11.558181,-73.674460,-111.249699,-143.449910,-104.158099,-49.837690,75.678880,223.552978,274.394696,300.711859,121.322166,-0.425421,-0.059724,-0.118271
1608539285.214219,7.989635,29.467652,33.313565,20.919185,-15.971637,-54.969175,-96.134878,-63.153688,-36.392662,41.053736,212.172547,235.447882,181.189307,-3.256816,-93.675668,-108.075340,0.360383,0.143572,0.068516
1608539285.217263,9.619062,31.047522,32.105459,-1.480303,-47.326688,-91.520779,-55.512794,15.460054,78.788319,181.535865,63.494584,-33.034295,-107.570301,-131.870341,-171.178050,81.491505,-0.343216,-0.256577,-0.050628
1608539285.220438,10.461761,29.390238,15.474584,-28.016843,-62.772214,-52.238621,17.218443,85.901306,152.178554,20.123781,-161.129930,-71.241657,-82.948171,119.314944,264.842660,286.020625,0.068512,0.323525,0.416027
1608539285.224235,11.371925,23.604295,1.107036,-56.070358,-73.011592,-0.132839,110.928759,123.484831,-1.776432,-169.560654,-175.957579,12.764630,67.811716,81.991108,-19.286993,-230.390596,0.420918,0.303055,0.277756
1608539285.227565,12.667173,19.892836,-15.563038,-50.536108,-25.637474,40.655389,61.562667,3.421033,-146.341878,-136.830300,67.630372,132.384677,54.239753,-199.013766,-144.019967,-1.334732,0.289980,0.072067,0.249378
1608539285.230751,13.081711,14.325386,-27.518198,-44.112902,11.722869,106.755676,39.988780,-113.787471,-79.284123,60.560899,74.101527,5.711805,-259.598725,-54.332804,151.881855,220.532191,-0.731152,0.352911,0.452479
1608539285.234535,13.921739,9.553554,-33.683830,-30.691967,63.152347,47.161826,-36.938502,-128.610218,48.730438,71.708031,0.617494,-266.257221,-56.018525,224.970293,86.174790,-129.008300,-0.007564,-0.225093,-0.241607
1608539285.237825,14.166590,2.164960,-47.022292,-6.132286,59.842188,7.639366,-109.960190,-10.901345,167.079830,27.607628,-218.505625,-15.039341,152.919658,18.232249,-187.559554,-85.737949,-0.207359,0.027999,0.876630
1608539285.241201,14.351233,-5.045159,-38.216149,21.220900,59.025230,-37.290927,-54.138541,115.715319,91.764993,-108.831768,-74.452516,139.483830,42.441139,-325.170136,10.631101,331.347404,-0.486965,0.676635,-0.093922
1608539285.244997,14.285390,-12.091071,-37.302486,40.968151,26.555491,-90.168728,4.517599,140.476103,-62.043034,-118.414436,179.326542,49.328470,-138.677244,26.369506,302.986824,-167.324605,-0.091123,0.830901,0.390922
1608539285.248129,13.630473,-19.439996,-24.507435,51.549820,-14.619841,-74.931300,87.135981,35.807985,-123.978732,74.395138,52.975730,-213.713632,-7.941929,123.210130,-133.372383,-135.916348,0.345064,0.353628,0.191535
1608539285.251680,13.218549,-22.296584,-7.006040,58.093250,-45.906557,-25.320351,116.725588,-76.049567,-63.435303,81.989948,-70.661126,-111.417081,158.655000,-142.603559,-37.933276,282.486920,-0.265816,-0.575248,-0.423912
1608539285.255471,11.872714,-25.197951,9.011984,41.249901,-64.496937,35.147943,44.147468,-149.766410,88.670653,35.669064,-207.843755,190.901412,-6.950283,-228.163899,295.685676,-87.136215,-0.820400,-0.741937,0.357541
1608539285.259341,10.842112,-29.993585,24.728640,14.856596,-48.833669,81.539391,-36.737258,-45.529929,89.723475,-126.840334,38.497045,143.734021,-276.728983,95.642996,-19.952913,-142.151549,-0.067945,-0.644588,0.292176
1608539285.262493,10.070990,-27.613402,30.379279,-14.632706,-26.307690,75.390002,-113.051238,43.077293,7.556521,-123.354883,107.100975,-208.964311,65.501597,35.054594,-246.150889,139.095388,-0.431527,-0.066632,0.202291
1608539285.266288,8.578946,-24.213035,38.100693,-33.782977,11.543492,22.050137,-79.743826,102.035520,-134.741285,92.234109,23.630073,-98.324510,89.049631,-70.200223,149.809277,-42.254763,-0.058692,-0.094470,0.077107
1608539285.270080,7.149053,-21.734104,47.629925,-56.248471,55.914011,-25.019143,-6.894121,61.973848,-150.668904,131.386006,-126.891168,149.058610,-87.504695,-17.977783,99.177835,-64.659437,-0.569410,0.668427,0.679257
1608539285.273169,5.090519,-19.044873,32.361539,-64.848161,80.050351,-55.842138,92.714067,-60.047753,20.780835,36.645141,-38.859802,191.453406,-95.623157,132.196308,-278.027959,188.762634,0.305242,0.012803,-0.045605
1608539285.276965,3.563099,-13.350557,26.485706,-41.314768,74.307371,-104.419822,96.869403,-88.342110,103.410155,-94.743378,65.965722,-151.991740,118.080539,-39.673010,15.335316,30.760732,-0.471958,0.509615,0.212347
1608539285.280552,1.838433,-5.628858,10.944979,-20.333989,27.030989,-49.699723,70.399996,-74.619743,67.432472,-65.625873,92.189973,-141.611217,242.343860,-151.764759,73.838528,-77.586693,0.246706,-0.020704,0.144587
1608539285.283655,-0.000000,1.298186,-4.103928,7.128861,-14.772156,15.407270,-19.437203,33.878419,-33.898093,66.467169,-90.283733,119.147054,-164.583863,88.926660,-225.830589,123.612937,-0.023359,0.231133,0.115447
1608539285.287444,-1.780989,7.830468,-22.271803,39.029803,-50.248432,76.906251,-77.186166,133.173290,-84.049487,190.082103,-85.371585,166.801598,-181.096247,99.171957,-143.813446,20.491124,0.351964,-0.327337,-0.133856
1608539285.290481,-3.493321,13.764119,-30.362360,42.383632,-59.257562,70.136102,-57.480185,87.767019,-81.775055,35.712161,18.841510,-107.142435,110.411364,-89.747610,81.779468,-218.237048,-0.161543,0.461493,0.531860
